"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"16/03/2020 2:33:32 PM","1.00","1.00","0.00"
"16/03/2020 2:02:20 PM","1.00","1.00","1.00"
"16/03/2020 2:01:35 PM","1.00","1.00","0.00"
"16/03/2020 12:57:23 PM","1.00","1.00","1.00"
"16/03/2020 12:56:47 PM","1.00","1.00","0.00"
"16/03/2020 12:45:13 PM","1.00","1.00","1.00"
"16/03/2020 12:45:11 PM","1.00","1.00","0.00"
"16/03/2020 12:45:09 PM","1.00","0.00","0.00"
"16/03/2020 12:14:48 PM","0.00","0.00","0.00"
"16/03/2020 12:14:41 PM","0.00","0.00","1.00"
"16/03/2020 11:43:32 AM","0.00","1.00","1.00"
"16/03/2020 10:57:55 AM","1.00","1.00","1.00"
"16/03/2020 10:57:15 AM","1.00","1.00","0.00"
"16/03/2020 9:35:00 AM","1.00","1.00","1.00"
"16/03/2020 6:59:25 AM","0.00","1.00","1.00"
"16/03/2020 6:50:32 AM","1.00","1.00","1.00"
"16/03/2020 6:06:17 AM","0.00","1.00","1.00"
"16/03/2020 6:00:20 AM","1.00","1.00","1.00"
"16/03/2020 6:00:09 AM","0.00","1.00","1.00"
"16/03/2020 6:00:01 AM","0.00","1.00","0.00"
"14/03/2020 5:16:43 AM","0.00","0.00","0.00"
"14/03/2020 5:16:41 AM","0.00","0.00","1.00"
"14/03/2020 4:45:37 AM","0.00","1.00","1.00"
"14/03/2020 4:36:47 AM","1.00","1.00","1.00"
"14/03/2020 4:15:24 AM","0.00","1.00","1.00"
"14/03/2020 4:15:21 AM","0.00","1.00","0.00"
"14/03/2020 4:14:24 AM","0.00","0.00","0.00"
"14/03/2020 4:09:06 AM","1.00","0.00","0.00"
"13/03/2020 4:37:38 PM","0.00","0.00","0.00"
"13/03/2020 4:37:31 PM","0.00","0.00","1.00"
"13/03/2020 4:06:25 PM","0.00","1.00","1.00"
"13/03/2020 2:42:00 PM","1.00","1.00","1.00"
"13/03/2020 2:38:03 PM","0.00","1.00","1.00"
"13/03/2020 2:22:23 PM","1.00","1.00","1.00"
"13/03/2020 2:22:21 PM","1.00","1.00","0.00"
"13/03/2020 2:22:18 PM","1.00","0.00","0.00"
"13/03/2020 2:11:33 PM","0.00","0.00","0.00"
"13/03/2020 2:11:31 PM","0.00","0.00","1.00"
"13/03/2020 1:40:18 PM","0.00","1.00","1.00"
