"Timestamp","FCU-00-05  PIR Log","FCU-00-05  Status Log","FCU-00-05 Enable Log"
"19/03/2020 6:00:22 AM","1.00","1.00","1.00"
"19/03/2020 6:00:21 AM","1.00","1.00","1.00"
"19/03/2020 5:08:04 AM","1.00","1.00","1.00"
"19/03/2020 4:53:11 AM","0.00","1.00","1.00"
"19/03/2020 4:39:09 AM","1.00","1.00","1.00"
"19/03/2020 4:39:06 AM","1.00","1.00","1.00"
"19/03/2020 4:31:45 AM","1.00","1.00","1.00"
"19/03/2020 4:31:05 AM","1.00","1.00","1.00"
"19/03/2020 4:31:04 AM","1.00","1.00","1.00"
"19/03/2020 4:30:35 AM","1.00","1.00","1.00"
"19/03/2020 4:30:30 AM","1.00","1.00","1.00"
"19/03/2020 4:30:29 AM","1.00","1.00","1.00"
"19/03/2020 4:29:34 AM","1.00","1.00","1.00"
"19/03/2020 4:29:32 AM","1.00","1.00","1.00"
"19/03/2020 4:29:18 AM","1.00","1.00","1.00"
"19/03/2020 4:29:17 AM","1.00","0.00","1.00"
"19/03/2020 4:29:10 AM","1.00","1.00","1.00"
"19/03/2020 4:29:09 AM","1.00","0.00","1.00"
"19/03/2020 4:25:44 AM","1.00","1.00","1.00"
"19/03/2020 4:04:32 AM","0.00","1.00","1.00"
"19/03/2020 4:01:01 AM","1.00","1.00","1.00"
"19/03/2020 3:57:06 AM","1.00","1.00","1.00"
"19/03/2020 3:50:15 AM","1.00","1.00","1.00"
"19/03/2020 3:47:32 AM","1.00","1.00","1.00"
"19/03/2020 3:46:27 AM","1.00","1.00","1.00"
"19/03/2020 3:42:26 AM","1.00","1.00","1.00"
"19/03/2020 3:37:28 AM","1.00","1.00","1.00"
"19/03/2020 3:37:27 AM","1.00","0.00","1.00"
"19/03/2020 3:37:26 AM","1.00","1.00","1.00"
"19/03/2020 3:37:23 AM","1.00","1.00","1.00"
"19/03/2020 3:37:22 AM","1.00","0.00","1.00"
"19/03/2020 3:37:18 AM","1.00","1.00","1.00"
"19/03/2020 3:37:17 AM","1.00","0.00","1.00"
"19/03/2020 3:37:16 AM","1.00","1.00","1.00"
"19/03/2020 3:37:06 AM","1.00","1.00","1.00"
"19/03/2020 3:36:51 AM","1.00","1.00","1.00"
"19/03/2020 3:36:50 AM","1.00","0.00","1.00"
"19/03/2020 3:35:59 AM","1.00","1.00","1.00"
"19/03/2020 3:35:55 AM","1.00","1.00","1.00"
"19/03/2020 3:35:53 AM","1.00","0.00","1.00"
"19/03/2020 3:35:43 AM","1.00","1.00","1.00"
"19/03/2020 3:35:41 AM","1.00","0.00","1.00"
"19/03/2020 3:35:40 AM","1.00","1.00","1.00"
"19/03/2020 3:35:39 AM","1.00","0.00","1.00"
"19/03/2020 3:35:38 AM","1.00","1.00","1.00"
"19/03/2020 3:35:34 AM","1.00","0.00","1.00"
"19/03/2020 3:29:34 AM","1.00","0.00","0.00"
"19/03/2020 1:03:40 AM","0.00","0.00","0.00"
"19/03/2020 1:03:34 AM","0.00","1.00","0.00"
"19/03/2020 12:32:28 AM","0.00","1.00","1.00"
"19/03/2020 12:26:27 AM","1.00","1.00","1.00"
"19/03/2020 12:26:05 AM","1.00","1.00","1.00"
"19/03/2020 12:23:41 AM","1.00","1.00","1.00"
"19/03/2020 12:23:33 AM","1.00","1.00","1.00"
"19/03/2020 12:23:32 AM","1.00","0.00","1.00"
"19/03/2020 12:23:31 AM","1.00","0.00","1.00"
"19/03/2020 12:23:30 AM","1.00","1.00","1.00"
"19/03/2020 12:23:28 AM","1.00","0.00","1.00"
"19/03/2020 12:22:29 AM","1.00","1.00","1.00"
"19/03/2020 12:22:28 AM","1.00","0.00","1.00"
"19/03/2020 12:22:12 AM","1.00","1.00","1.00"
"19/03/2020 12:22:11 AM","1.00","0.00","1.00"
"19/03/2020 12:21:36 AM","1.00","1.00","1.00"
"19/03/2020 12:21:34 AM","1.00","0.00","1.00"
"19/03/2020 12:15:28 AM","1.00","0.00","0.00"
"19/03/2020 12:15:21 AM","0.00","0.00","0.00"
"19/03/2020 12:15:14 AM","0.00","1.00","0.00"
"18/03/2020 11:44:08 PM","0.00","1.00","1.00"
"18/03/2020 8:36:03 PM","1.00","1.00","1.00"
"18/03/2020 7:15:34 PM","1.00","1.00","1.00"
"18/03/2020 7:15:01 PM","1.00","1.00","1.00"
"18/03/2020 7:12:20 PM","1.00","1.00","1.00"
"18/03/2020 6:23:21 PM","1.00","1.00","1.00"
"18/03/2020 6:23:20 PM","1.00","1.00","1.00"
"18/03/2020 6:23:17 PM","1.00","1.00","1.00"
"18/03/2020 6:23:16 PM","1.00","0.00","1.00"
"18/03/2020 6:23:15 PM","1.00","0.00","1.00"
"18/03/2020 6:23:09 PM","1.00","1.00","1.00"
"18/03/2020 6:23:08 PM","1.00","1.00","1.00"
"18/03/2020 6:06:07 PM","1.00","1.00","1.00"
"18/03/2020 6:06:04 PM","1.00","0.00","1.00"
"18/03/2020 6:00:10 PM","1.00","0.00","0.00"
"18/03/2020 6:00:08 PM","1.00","1.00","0.00"
"18/03/2020 6:00:05 PM","1.00","0.00","0.00"
"18/03/2020 6:00:04 PM","1.00","1.00","0.00"
"18/03/2020 5:29:38 AM","1.00","1.00","1.00"
"18/03/2020 5:05:06 AM","0.00","1.00","1.00"
"18/03/2020 4:27:46 AM","1.00","1.00","1.00"
"18/03/2020 4:27:05 AM","0.00","1.00","1.00"
"18/03/2020 3:33:37 AM","1.00","1.00","1.00"
"18/03/2020 3:33:34 AM","1.00","0.00","1.00"
"18/03/2020 3:27:29 AM","1.00","0.00","0.00"
"18/03/2020 1:45:22 AM","0.00","0.00","0.00"
"18/03/2020 12:32:50 AM","0.00","0.00","0.00"
"18/03/2020 12:32:44 AM","0.00","1.00","0.00"
"18/03/2020 12:01:42 AM","0.00","1.00","1.00"
"17/03/2020 11:44:39 PM","1.00","1.00","1.00"
"17/03/2020 11:44:11 PM","0.00","1.00","1.00"
"17/03/2020 7:34:38 PM","1.00","1.00","1.00"
"17/03/2020 7:34:37 PM","1.00","0.00","1.00"
"17/03/2020 7:34:19 PM","1.00","1.00","1.00"
"17/03/2020 7:34:18 PM","1.00","1.00","1.00"
"17/03/2020 7:34:17 PM","1.00","0.00","1.00"
"17/03/2020 7:34:15 PM","1.00","1.00","1.00"
"17/03/2020 7:32:40 PM","1.00","1.00","1.00"
"17/03/2020 7:32:39 PM","1.00","0.00","1.00"
"17/03/2020 7:32:38 PM","1.00","1.00","1.00"
"17/03/2020 7:32:37 PM","1.00","0.00","1.00"
"17/03/2020 6:06:07 PM","1.00","1.00","1.00"
"17/03/2020 6:06:04 PM","1.00","0.00","1.00"
"17/03/2020 6:00:09 PM","1.00","0.00","0.00"
"17/03/2020 6:00:04 PM","1.00","1.00","0.00"
"17/03/2020 12:53:45 PM","1.00","1.00","1.00"
"17/03/2020 12:53:44 PM","1.00","1.00","1.00"
"17/03/2020 12:48:21 PM","1.00","1.00","1.00"
"17/03/2020 12:48:06 PM","1.00","1.00","1.00"
"17/03/2020 12:48:04 PM","1.00","1.00","1.00"
"17/03/2020 12:37:27 PM","1.00","1.00","1.00"
"17/03/2020 12:37:26 PM","1.00","0.00","1.00"
"17/03/2020 12:37:25 PM","1.00","1.00","1.00"
"17/03/2020 12:37:23 PM","1.00","1.00","1.00"
"17/03/2020 12:37:11 PM","1.00","1.00","1.00"
"17/03/2020 12:36:51 PM","1.00","1.00","1.00"
"17/03/2020 12:36:50 PM","1.00","0.00","1.00"
"17/03/2020 12:36:27 PM","1.00","1.00","1.00"
"17/03/2020 12:36:26 PM","1.00","0.00","1.00"
"17/03/2020 11:02:06 AM","1.00","1.00","1.00"
"17/03/2020 11:02:05 AM","1.00","0.00","1.00"
"17/03/2020 11:00:02 AM","1.00","1.00","1.00"
"17/03/2020 10:44:35 AM","1.00","1.00","1.00"
"17/03/2020 10:44:34 AM","1.00","0.00","1.00"
"17/03/2020 10:12:54 AM","1.00","1.00","1.00"
"17/03/2020 8:29:08 AM","1.00","1.00","1.00"
"17/03/2020 8:29:07 AM","1.00","0.00","1.00"
"17/03/2020 8:29:06 AM","1.00","0.00","1.00"
"17/03/2020 8:29:04 AM","1.00","1.00","1.00"
"17/03/2020 8:29:03 AM","1.00","0.00","1.00"
"17/03/2020 8:14:29 AM","1.00","1.00","1.00"
"17/03/2020 8:13:38 AM","1.00","1.00","1.00"
"17/03/2020 8:13:36 AM","1.00","0.00","1.00"
"17/03/2020 5:32:24 AM","1.00","1.00","1.00"
"17/03/2020 5:25:12 AM","0.00","1.00","1.00"
"17/03/2020 4:35:39 AM","1.00","1.00","1.00"
"17/03/2020 4:09:49 AM","0.00","1.00","1.00"
"17/03/2020 3:37:26 AM","1.00","1.00","1.00"
"17/03/2020 3:37:25 AM","1.00","0.00","1.00"
"17/03/2020 3:33:17 AM","1.00","1.00","1.00"
"17/03/2020 3:33:14 AM","1.00","0.00","1.00"
"17/03/2020 3:27:13 AM","1.00","0.00","0.00"
"17/03/2020 1:43:50 AM","0.00","0.00","0.00"
"17/03/2020 1:43:48 AM","0.00","1.00","0.00"
"17/03/2020 1:43:44 AM","0.00","1.00","0.00"
"17/03/2020 1:12:42 AM","0.00","1.00","1.00"
"17/03/2020 12:57:18 AM","1.00","1.00","1.00"
"17/03/2020 12:57:16 AM","1.00","1.00","1.00"
"17/03/2020 12:57:14 AM","1.00","0.00","1.00"
"17/03/2020 12:51:05 AM","1.00","0.00","0.00"
"17/03/2020 12:20:20 AM","0.00","0.00","0.00"
"17/03/2020 12:20:14 AM","0.00","1.00","0.00"
"16/03/2020 11:49:11 PM","0.00","1.00","1.00"
"16/03/2020 8:38:27 PM","1.00","1.00","1.00"
"16/03/2020 8:38:26 PM","1.00","0.00","1.00"
"16/03/2020 8:33:57 PM","1.00","1.00","1.00"
"16/03/2020 8:33:10 PM","1.00","1.00","1.00"
"16/03/2020 8:28:56 PM","1.00","1.00","1.00"
"16/03/2020 8:23:52 PM","1.00","1.00","1.00"
"16/03/2020 8:23:51 PM","1.00","0.00","1.00"
"16/03/2020 8:23:50 PM","1.00","0.00","1.00"
"16/03/2020 8:23:49 PM","1.00","0.00","1.00"
"16/03/2020 8:23:43 PM","1.00","1.00","1.00"
"16/03/2020 8:09:42 PM","1.00","1.00","1.00"
"16/03/2020 7:16:43 PM","1.00","1.00","1.00"
"16/03/2020 7:15:42 PM","1.00","1.00","1.00"
"16/03/2020 7:15:41 PM","1.00","1.00","1.00"
"16/03/2020 7:15:38 PM","1.00","0.00","1.00"
"16/03/2020 6:40:22 PM","1.00","1.00","1.00"
"16/03/2020 6:40:20 PM","1.00","0.00","1.00"
"16/03/2020 6:40:19 PM","1.00","0.00","1.00"
"16/03/2020 6:07:37 PM","1.00","1.00","1.00"
"16/03/2020 6:07:36 PM","1.00","0.00","1.00"
"16/03/2020 6:07:33 PM","1.00","1.00","1.00"
"16/03/2020 6:07:29 PM","1.00","1.00","1.00"
"16/03/2020 6:07:28 PM","1.00","0.00","1.00"
"16/03/2020 6:07:27 PM","1.00","0.00","1.00"
"16/03/2020 6:06:34 PM","1.00","1.00","1.00"
"16/03/2020 6:06:24 PM","1.00","0.00","1.00"
"16/03/2020 6:06:18 PM","1.00","1.00","1.00"
"16/03/2020 6:06:14 PM","1.00","0.00","1.00"
"16/03/2020 6:00:11 PM","1.00","0.00","0.00"
"16/03/2020 6:00:04 PM","1.00","1.00","0.00"
"16/03/2020 4:49:19 AM","1.00","1.00","1.00"
"16/03/2020 4:47:43 AM","0.00","1.00","1.00"
"16/03/2020 4:16:13 AM","1.00","1.00","1.00"
"16/03/2020 4:10:04 AM","0.00","1.00","1.00"
"16/03/2020 3:20:30 AM","1.00","1.00","1.00"
"16/03/2020 3:20:24 AM","1.00","0.00","1.00"
"16/03/2020 3:14:19 AM","1.00","0.00","0.00"
