"Timestamp","FCU-00-18 PIR Log","FCU-00-18Enable Log"
"9/03/2020 10:34:10 AM","0.00","1.00"
"9/03/2020 10:33:10 AM","0.00","0.00"
"9/03/2020 10:32:30 AM","0.00","1.00"
"9/03/2020 10:32:20 AM","0.00","0.00"
"9/03/2020 10:32:10 AM","0.00","1.00"
"9/03/2020 10:31:00 AM","0.00","0.00"
"9/03/2020 10:30:40 AM","0.00","1.00"
"9/03/2020 10:30:00 AM","0.00","0.00"
"9/03/2020 10:29:20 AM","0.00","1.00"
"9/03/2020 10:29:10 AM","0.00","0.00"
"9/03/2020 10:29:00 AM","0.00","1.00"
"9/03/2020 10:28:50 AM","0.00","0.00"
"9/03/2020 10:28:10 AM","0.00","1.00"
"9/03/2020 10:27:40 AM","0.00","0.00"
"9/03/2020 10:27:10 AM","0.00","1.00"
"9/03/2020 10:26:50 AM","0.00","0.00"
"9/03/2020 10:26:10 AM","0.00","1.00"
"9/03/2020 10:25:40 AM","0.00","0.00"
"9/03/2020 10:23:30 AM","0.00","1.00"
"9/03/2020 10:23:20 AM","0.00","0.00"
"9/03/2020 10:22:50 AM","0.00","1.00"
"9/03/2020 10:22:40 AM","0.00","0.00"
"9/03/2020 10:21:40 AM","0.00","1.00"
"9/03/2020 10:21:30 AM","0.00","0.00"
"9/03/2020 9:35:30 AM","0.00","1.00"
"9/03/2020 6:57:50 AM","0.00","0.00"
"9/03/2020 6:00:00 AM","0.00","1.00"
"4/03/2020 6:40:20 AM","0.00","0.00"
"4/03/2020 6:00:00 AM","0.00","1.00"
"3/03/2020 6:03:20 AM","0.00","0.00"
"3/03/2020 6:01:40 AM","0.00","1.00"
"2/03/2020 10:14:10 AM","0.00","0.00"
"2/03/2020 10:14:00 AM","0.00","1.00"
"2/03/2020 10:11:10 AM","0.00","0.00"
"2/03/2020 10:10:30 AM","0.00","1.00"
"2/03/2020 10:09:10 AM","0.00","0.00"
"2/03/2020 10:08:20 AM","0.00","1.00"
"2/03/2020 10:07:40 AM","0.00","0.00"
"2/03/2020 10:07:00 AM","0.00","1.00"
"2/03/2020 10:06:50 AM","0.00","0.00"
"2/03/2020 10:05:40 AM","0.00","1.00"
"2/03/2020 10:05:30 AM","0.00","0.00"
"2/03/2020 10:03:50 AM","0.00","1.00"
"2/03/2020 10:03:30 AM","0.00","0.00"
"2/03/2020 10:02:30 AM","0.00","1.00"
"2/03/2020 10:02:10 AM","0.00","0.00"
"2/03/2020 10:01:00 AM","0.00","1.00"
"2/03/2020 10:00:30 AM","0.00","0.00"
"2/03/2020 9:59:20 AM","0.00","1.00"
"2/03/2020 9:59:00 AM","0.00","0.00"
"2/03/2020 9:38:20 AM","0.00","1.00"
"2/03/2020 4:03:16 AM","0.00","0.00"
"2/03/2020 4:03:11 AM","1.00","0.00"
"2/03/2020 3:08:34 AM","1.00","0.00"
"2/03/2020 1:00:43 AM","0.00","0.00"
"2/03/2020 1:00:38 AM","0.00","0.00"
"28/02/2020 10:37:24 AM","0.00","0.00"
"28/02/2020 10:27:24 AM","0.00","1.00"
"28/02/2020 12:00:09 AM","0.00","0.00"
"28/02/2020 12:00:06 AM","0.00","0.00"
"30/01/2020 2:37:02 PM","0.00","0.00"
"30/01/2020 2:36:22 PM","0.00","1.00"
"30/01/2020 2:11:42 PM","0.00","0.00"
"30/01/2020 2:11:02 PM","0.00","1.00"
"30/01/2020 2:07:32 PM","0.00","0.00"
"30/01/2020 2:06:52 PM","0.00","1.00"
"30/01/2020 1:52:02 PM","0.00","0.00"
"30/01/2020 1:51:12 PM","0.00","1.00"
"30/01/2020 1:40:22 PM","0.00","0.00"
"30/01/2020 1:39:52 PM","0.00","1.00"
"30/01/2020 1:34:22 PM","0.00","0.00"
"30/01/2020 1:33:22 PM","0.00","1.00"
"30/01/2020 1:29:42 PM","0.00","0.00"
"30/01/2020 1:28:42 PM","0.00","1.00"
"30/01/2020 1:28:32 PM","0.00","0.00"
"30/01/2020 1:28:22 PM","0.00","1.00"
"30/01/2020 1:23:22 PM","0.00","0.00"
"30/01/2020 1:22:42 PM","0.00","1.00"
"30/01/2020 1:21:42 PM","0.00","0.00"
"30/01/2020 1:21:02 PM","0.00","1.00"
"30/01/2020 1:17:52 PM","0.00","0.00"
"30/01/2020 1:17:02 PM","0.00","1.00"
"30/01/2020 1:11:22 PM","0.00","0.00"
"30/01/2020 1:10:42 PM","0.00","1.00"
"30/01/2020 1:09:22 PM","0.00","0.00"
"30/01/2020 1:08:22 PM","0.00","1.00"
"30/01/2020 1:06:02 PM","0.00","0.00"
"30/01/2020 1:05:02 PM","0.00","1.00"
"30/01/2020 1:01:02 PM","0.00","0.00"
"30/01/2020 1:00:12 PM","0.00","1.00"
"30/01/2020 12:59:02 PM","0.00","0.00"
"30/01/2020 12:58:12 PM","0.00","1.00"
"30/01/2020 12:55:12 PM","0.00","0.00"
"30/01/2020 12:54:22 PM","0.00","1.00"
"30/01/2020 12:52:52 PM","0.00","0.00"
"30/01/2020 12:51:32 PM","0.00","1.00"
"30/01/2020 12:48:12 PM","0.00","0.00"
"30/01/2020 12:47:22 PM","0.00","1.00"
"30/01/2020 12:46:32 PM","0.00","0.00"
"30/01/2020 12:45:52 PM","0.00","1.00"
"30/01/2020 12:44:42 PM","0.00","0.00"
"30/01/2020 12:43:52 PM","0.00","1.00"
"30/01/2020 12:43:22 PM","0.00","0.00"
"30/01/2020 12:42:22 PM","0.00","1.00"
"30/01/2020 12:41:42 PM","0.00","0.00"
"30/01/2020 12:40:42 PM","0.00","1.00"
"30/01/2020 12:39:52 PM","0.00","0.00"
"30/01/2020 12:38:32 PM","0.00","1.00"
"30/01/2020 12:37:52 PM","0.00","0.00"
"30/01/2020 12:37:02 PM","0.00","1.00"
"30/01/2020 12:36:52 PM","0.00","0.00"
"30/01/2020 12:36:42 PM","0.00","1.00"
"30/01/2020 12:36:32 PM","0.00","0.00"
"30/01/2020 12:35:12 PM","0.00","1.00"
"30/01/2020 12:35:02 PM","0.00","0.00"
"30/01/2020 12:34:02 PM","0.00","1.00"
"30/01/2020 12:33:52 PM","0.00","0.00"
