"Timestamp","VM Carpark Lighting Hour Meter Trend Log","VM Carpark Power Hour Meter Trend Log","VM Mechanical Hour Meter Trend Log","VM Tenant Lighting Hour Meter Trend Log","VM Tenant Power Hour Meter Trend Log","VM Lifts Hour Meter Trend Log"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"
"15/03/2020 9:00:00 AM","13.13","4.52","38.00","25.38","99.25","1.63","","","","","","",""
"15/03/2020 8:00:00 AM","16.13","4.55","38.50","17.50","99.00","1.63","","","","","","",""
"15/03/2020 7:00:00 AM","21.63","4.45","29.50","16.75","94.00","1.64","","","","","","",""
"15/03/2020 6:00:00 AM","19.75","4.70","28.00","15.00","96.50","1.59","","","","","","",""
"15/03/2020 5:00:00 AM","14.88","4.53","30.75","17.75","98.75","1.58","","","","","","",""
"15/03/2020 4:00:00 AM","18.25","4.56","29.00","21.88","99.00","1.65","","","","","","",""
"15/03/2020 3:00:00 AM","26.25","4.47","29.25","18.88","100.25","1.59","","","","","","",""
"15/03/2020 2:00:00 AM","13.31","4.48","31.00","20.13","98.25","1.59","","","","","","",""
"15/03/2020 1:00:00 AM","30.88","4.48","41.25","29.25","98.25","1.63","","","","","","",""
"15/03/2020 12:00:00 AM","21.44","4.52","43.25","30.75","99.00","1.59","","","","","","",""
"14/03/2020 11:00:00 PM","28.75","4.56","40.75","35.63","100.00","1.79","","","","","","",""
"14/03/2020 10:00:00 PM","21.63","4.55","42.25","34.25","99.75","1.66","","","","","","",""
"14/03/2020 9:00:00 PM","29.38","4.53","44.50","34.00","100.00","1.69","","","","","","",""
"14/03/2020 8:00:00 PM","19.50","4.53","52.00","35.75","100.25","1.71","","","","","","",""
"14/03/2020 7:00:00 PM","29.00","4.56","77.00","52.13","94.75","2.57","","","","","","",""
"14/03/2020 6:00:00 PM","24.94","4.75","76.00","71.88","93.25","2.58","","","","","","",""
"14/03/2020 5:00:00 PM","24.25","4.75","71.00","74.13","94.50","2.69","","","","","","",""
"14/03/2020 4:00:00 PM","21.75","4.69","101.25","71.38","93.75","2.80","","","","","","",""
"14/03/2020 3:00:00 PM","29.00","4.69","72.50","65.13","93.75","3.03","","","","","","",""
"14/03/2020 2:00:00 PM","20.25","4.55","54.75","47.00","93.50","2.10","","","","","","",""
"14/03/2020 1:00:00 PM","21.94","4.67","54.00","52.50","95.25","2.34","","","","","","",""
"14/03/2020 12:00:00 PM","18.38","4.91","81.25","52.75","95.75","2.21","","","","","","",""
"14/03/2020 11:00:00 AM","19.56","4.70","90.75","58.50","92.00","1.95","","","","","","",""
"14/03/2020 10:00:00 AM","18.00","4.72","74.25","61.88","98.25","1.81","","","","","","",""
"14/03/2020 9:00:00 AM","23.50","4.73","46.25","43.00","98.75","2.02","","","","","","",""
"14/03/2020 8:00:00 AM","15.88","4.67","41.50","26.38","99.00","1.78","","","","","","",""
"14/03/2020 7:00:00 AM","17.94","4.64","35.75","20.88","93.25","1.69","","","","","","",""
"14/03/2020 6:00:00 AM","27.31","4.88","31.50","21.13","96.00","1.78","","","","","","",""
"14/03/2020 5:00:00 AM","15.38","4.64","28.75","16.75","97.75","1.57","","","","","","",""
"14/03/2020 4:00:00 AM","12.19","4.66","28.50","20.25","97.75","1.59","","","","","","",""
"14/03/2020 3:00:00 AM","14.31","4.59","31.75","19.13","99.00","1.55","","","","","","",""
"14/03/2020 2:00:00 AM","26.94","4.64","36.50","16.00","96.75","1.58","","","","","","",""
"14/03/2020 1:00:00 AM","22.06","4.61","36.00","30.75","97.75","1.66","","","","","","",""
"14/03/2020 12:00:00 AM","30.13","4.63","44.25","32.13","97.75","1.68","","","","","","",""
"13/03/2020 11:00:00 PM","27.75","4.63","54.25","36.50","98.75","1.75","","","","","","",""
"13/03/2020 10:00:00 PM","29.44","4.64","82.50","39.88","99.00","1.66","","","","","","",""
"13/03/2020 9:00:00 PM","31.56","4.67","68.00","46.38","99.75","2.02","","","","","","",""
"13/03/2020 8:00:00 PM","32.69","4.73","112.50","63.38","110.75","2.80","","","","","","",""
"13/03/2020 7:00:00 PM","29.94","6.05","178.50","96.00","114.50","4.22","","","","","","",""
"13/03/2020 6:00:00 PM","30.00","5.52","259.00","112.75","116.25","5.12","","","","","","",""
"13/03/2020 5:00:00 PM","29.94","5.36","306.00","112.00","121.50","5.54","","","","","","",""
"13/03/2020 4:00:00 PM","31.88","5.36","332.75","112.88","118.00","6.40","","","","","","",""
"13/03/2020 3:00:00 PM","30.19","5.56","326.25","115.50","120.00","6.06","","","","","","",""
"13/03/2020 2:00:00 PM","31.56","5.38","295.25","112.00","120.00","5.74","","","","","","",""
"13/03/2020 1:00:00 PM","32.38","5.31","275.50","106.25","115.75","5.13","","","","","","",""
"13/03/2020 12:00:00 PM","33.44","5.25","260.25","103.38","112.00","4.73","","","","","","",""
"13/03/2020 11:00:00 AM","31.81","5.17","229.25","98.25","110.50","6.02","","","","","","",""
"13/03/2020 10:00:00 AM","28.88","5.17","166.75","88.75","110.00","5.99","","","","","","",""
"13/03/2020 9:00:00 AM","22.44","4.88","165.50","69.75","102.25","3.48","","","","","","",""
"13/03/2020 8:00:00 AM","18.06","4.89","128.75","60.38","101.25","2.13","","","","","","",""
"13/03/2020 7:00:00 AM","22.25","4.80","167.25","43.63","96.00","1.91","","","","","","",""
"13/03/2020 6:00:00 AM","25.13","5.08","77.00","47.00","98.25","2.13","","","","","","",""
"13/03/2020 5:00:00 AM","17.25","4.64","32.00","19.13","99.50","1.64","","","","","","",""
"13/03/2020 4:00:00 AM","12.25","4.59","33.00","19.75","99.75","1.59","","","","","","",""
"13/03/2020 3:00:00 AM","23.38","4.63","32.00","18.88","100.50","1.59","","","","","","",""
"13/03/2020 2:00:00 AM","17.63","4.63","64.25","15.38","99.25","1.59","","","","","","",""
"13/03/2020 1:00:00 AM","20.63","4.66","89.25","28.13","99.75","1.61","","","","","","",""
"13/03/2020 12:00:00 AM","27.63","4.64","105.00","35.63","99.75","1.68","","","","","","",""
"12/03/2020 11:00:00 PM","33.13","4.66","131.75","51.88","102.75","1.96","","","","","","",""
"12/03/2020 10:00:00 PM","638,652.00","142,746.66","2,447,826.25","1,421,970.38","2,267,422.00","80,252.04","","","","","","",""
"12/03/2020 9:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"12/03/2020 8:00:00 PM","34.13","4.92","249.25","76.00","114.75","2.72","","","","","","",""
"12/03/2020 7:00:00 PM","32.06","5.36","337.75","103.63","117.75","4.88","","","","","","",""
"12/03/2020 6:00:00 PM","32.88","5.33","339.75","109.38","118.75","5.94","","","","","","",""
"12/03/2020 5:00:00 PM","33.00","5.47","346.25","114.63","121.75","5.64","","","","","","",""
"12/03/2020 4:00:00 PM","34.31","5.53","343.75","110.25","121.50","5.57","","","","","","",""
"12/03/2020 3:00:00 PM","31.50","5.55","343.25","111.00","123.25","6.92","","","","","","",""
"12/03/2020 2:00:00 PM","30.56","5.42","313.75","108.13","122.75","6.14","","","","","","",""
"12/03/2020 1:00:00 PM","33.75","5.48","268.75","103.50","118.00","5.49","","","","","","",""
