"Timestamp","FCU-00-10  PIR Log","FCU-00-10   Enable Log","FCU-00-10 Status Log"
"24/03/2020 12:34:02 PM","0.00","1.00","1.00"
"24/03/2020 12:33:54 PM","0.00","1.00","0.00"
"24/03/2020 12:33:48 PM","0.00","0.00","0.00"
"24/03/2020 12:33:44 PM","0.00","0.00","1.00"
"24/03/2020 12:29:42 PM","0.00","1.00","1.00"
"24/03/2020 12:29:34 PM","0.00","1.00","0.00"
"24/03/2020 12:29:29 PM","0.00","0.00","0.00"
"24/03/2020 12:29:24 PM","0.00","0.00","1.00"
"24/03/2020 12:29:22 PM","0.00","1.00","1.00"
"24/03/2020 12:29:14 PM","0.00","1.00","0.00"
"24/03/2020 12:29:09 PM","0.00","0.00","0.00"
"24/03/2020 12:29:04 PM","0.00","0.00","1.00"
"24/03/2020 12:29:02 PM","0.00","1.00","1.00"
"24/03/2020 12:28:54 PM","0.00","1.00","0.00"
"24/03/2020 12:28:49 PM","0.00","0.00","0.00"
"24/03/2020 12:28:47 PM","0.00","0.00","1.00"
"24/03/2020 12:28:45 PM","0.00","0.00","1.00"
"24/03/2020 12:28:44 PM","0.00","0.00","1.00"
"24/03/2020 12:28:37 PM","0.00","1.00","1.00"
"24/03/2020 12:28:34 PM","0.00","1.00","0.00"
"24/03/2020 12:28:29 PM","0.00","0.00","0.00"
"24/03/2020 12:28:24 PM","0.00","0.00","1.00"
"24/03/2020 12:28:07 PM","0.00","1.00","1.00"
"24/03/2020 12:28:04 PM","0.00","1.00","0.00"
"24/03/2020 12:27:59 PM","0.00","0.00","0.00"
"24/03/2020 12:27:54 PM","0.00","0.00","1.00"
"24/03/2020 12:27:07 PM","0.00","1.00","1.00"
"24/03/2020 12:27:04 PM","0.00","1.00","0.00"
"24/03/2020 12:26:49 PM","0.00","0.00","0.00"
"24/03/2020 12:26:44 PM","0.00","0.00","1.00"
"24/03/2020 12:25:47 PM","0.00","1.00","1.00"
"24/03/2020 12:25:44 PM","0.00","1.00","0.00"
"24/03/2020 12:25:39 PM","0.00","0.00","0.00"
"24/03/2020 12:25:34 PM","0.00","0.00","1.00"
"24/03/2020 12:23:52 PM","0.00","1.00","1.00"
"24/03/2020 12:23:44 PM","0.00","1.00","0.00"
"24/03/2020 12:23:39 PM","0.00","0.00","0.00"
"24/03/2020 12:23:34 PM","0.00","0.00","1.00"
"24/03/2020 12:23:27 PM","0.00","1.00","1.00"
"24/03/2020 12:23:24 PM","0.00","1.00","0.00"
"24/03/2020 12:23:19 PM","0.00","0.00","0.00"
"24/03/2020 12:23:14 PM","0.00","0.00","1.00"
"24/03/2020 12:22:57 PM","0.00","1.00","1.00"
"24/03/2020 12:22:54 PM","0.00","1.00","0.00"
"24/03/2020 12:22:49 PM","0.00","0.00","0.00"
"24/03/2020 12:22:44 PM","0.00","0.00","1.00"
"24/03/2020 12:21:47 PM","0.00","1.00","1.00"
"24/03/2020 12:21:44 PM","0.00","1.00","0.00"
"24/03/2020 12:21:39 PM","0.00","0.00","0.00"
"24/03/2020 12:21:34 PM","0.00","0.00","1.00"
"24/03/2020 12:19:02 PM","0.00","1.00","1.00"
"24/03/2020 12:18:54 PM","0.00","1.00","0.00"
"24/03/2020 12:18:50 PM","0.00","0.00","0.00"
"24/03/2020 12:18:44 PM","0.00","0.00","1.00"
"24/03/2020 12:17:57 PM","0.00","1.00","1.00"
"24/03/2020 12:17:54 PM","0.00","1.00","0.00"
"24/03/2020 12:17:49 PM","0.00","0.00","0.00"
"24/03/2020 12:17:48 PM","0.00","0.00","1.00"
"24/03/2020 12:17:44 PM","0.00","0.00","1.00"
"24/03/2020 12:14:52 PM","0.00","1.00","1.00"
"24/03/2020 12:14:44 PM","0.00","1.00","0.00"
"24/03/2020 12:14:39 PM","0.00","0.00","0.00"
"24/03/2020 12:14:34 PM","0.00","0.00","1.00"
"24/03/2020 12:11:12 PM","0.00","1.00","1.00"
"24/03/2020 12:11:04 PM","0.00","1.00","0.00"
"24/03/2020 12:10:59 PM","0.00","0.00","0.00"
"24/03/2020 12:10:54 PM","0.00","0.00","1.00"
"24/03/2020 12:09:52 PM","0.00","1.00","1.00"
"24/03/2020 12:09:44 PM","0.00","1.00","0.00"
"24/03/2020 12:09:39 PM","0.00","0.00","0.00"
"24/03/2020 12:09:34 PM","0.00","0.00","1.00"
"24/03/2020 12:08:32 PM","0.00","1.00","1.00"
"24/03/2020 12:08:24 PM","0.00","1.00","0.00"
"24/03/2020 12:08:09 PM","0.00","0.00","0.00"
"24/03/2020 12:08:04 PM","0.00","0.00","1.00"
"24/03/2020 12:06:42 PM","0.00","1.00","1.00"
"24/03/2020 12:06:34 PM","0.00","1.00","0.00"
"24/03/2020 12:06:28 PM","0.00","0.00","0.00"
"24/03/2020 12:06:27 PM","0.00","0.00","1.00"
"24/03/2020 12:06:24 PM","0.00","0.00","1.00"
"24/03/2020 12:01:57 PM","0.00","1.00","1.00"
"24/03/2020 12:01:54 PM","0.00","1.00","0.00"
"24/03/2020 12:01:49 PM","0.00","0.00","0.00"
"24/03/2020 12:01:44 PM","0.00","0.00","1.00"
"24/03/2020 12:01:12 PM","0.00","1.00","1.00"
"24/03/2020 12:01:04 PM","0.00","1.00","0.00"
"24/03/2020 12:00:59 PM","0.00","0.00","0.00"
"24/03/2020 12:00:54 PM","0.00","0.00","1.00"
"24/03/2020 12:00:22 PM","0.00","1.00","1.00"
"24/03/2020 12:00:14 PM","0.00","1.00","0.00"
"24/03/2020 12:00:09 PM","0.00","0.00","0.00"
