"Timestamp","Cooling Capacity #3 KWr Extended Trend Log","COP #3 Extended Trend Log","Cooling Capacity #2 kwr ext Interval Trend Log","COP #2 Extended Trend Log","Cooling Machine #1 KWr extended trend","COP #1  Extended Trend Log","COP #1 Interval Trend Log"
"23/03/2020 5:25:00 AM","0.00","0.00","8.42","0.00","0.00","0.00","0.00"
"23/03/2020 5:20:00 AM","0.00","0.00","9.31","0.00","0.00","0.00","0.00"
"23/03/2020 5:15:00 AM","0.00","0.00","9.01","0.00","0.00","0.00","0.00"
"23/03/2020 5:10:00 AM","0.00","0.00","4.83","0.00","0.00","0.00","0.00"
"23/03/2020 5:05:00 AM","0.00","0.00","11.48","0.00","0.00","0.00","0.00"
"23/03/2020 5:00:00 AM","0.00","0.00","7.82","0.00","0.00","0.00","0.00"
"23/03/2020 4:55:00 AM","0.00","0.00","7.02","0.00","0.00","0.00","0.00"
"23/03/2020 4:50:00 AM","0.00","0.00","5.87","0.00","0.00","0.00","0.00"
"23/03/2020 4:45:00 AM","0.00","0.00","7.45","0.00","0.00","0.00","0.00"
"23/03/2020 4:40:00 AM","0.00","0.00","4.88","0.00","0.00","0.00","0.00"
"23/03/2020 4:35:00 AM","0.00","0.00","8.50","0.00","0.00","0.00","0.00"
"23/03/2020 4:30:00 AM","0.00","0.00","8.68","0.00","0.00","0.00","0.00"
"23/03/2020 4:25:00 AM","0.00","0.00","6.47","0.00","0.00","0.00","0.00"
"23/03/2020 4:20:00 AM","0.00","0.00","10.68","0.00","0.00","0.00","0.00"
"23/03/2020 4:15:00 AM","0.00","0.00","8.43","0.00","0.00","0.00","0.00"
"23/03/2020 4:10:00 AM","0.00","0.00","10.14","0.00","0.00","0.00","0.00"
"23/03/2020 4:05:00 AM","0.00","0.00","11.12","0.00","0.00","0.00","0.00"
"23/03/2020 4:00:00 AM","0.00","0.00","7.06","0.00","0.00","0.00","0.00"
"23/03/2020 3:55:00 AM","0.00","0.00","9.94","0.00","0.00","0.00","0.00"
"23/03/2020 3:50:00 AM","0.00","0.00","9.82","0.00","0.00","0.00","0.00"
"23/03/2020 3:45:00 AM","0.00","0.00","11.29","0.00","0.00","0.00","0.00"
"23/03/2020 3:40:00 AM","0.00","0.00","7.97","0.00","0.00","0.00","0.00"
"23/03/2020 3:35:00 AM","0.00","0.00","13.87","0.00","0.00","0.00","0.00"
"23/03/2020 3:30:00 AM","0.00","0.00","7.33","0.00","0.00","0.00","0.00"
"23/03/2020 3:25:00 AM","0.00","0.00","14.04","0.00","0.00","0.00","0.00"
"23/03/2020 3:20:00 AM","0.00","0.00","11.36","0.00","0.00","0.00","0.00"
"23/03/2020 3:15:00 AM","0.00","0.00","12.41","0.00","0.00","0.00","0.00"
"23/03/2020 3:10:00 AM","0.00","0.00","6.84","0.00","1.95","0.00","0.00"
"23/03/2020 3:05:00 AM","0.00","0.00","9.88","0.00","0.00","0.00","0.00"
"23/03/2020 3:00:00 AM","0.00","0.00","12.39","0.00","0.00","0.00","0.00"
"23/03/2020 2:55:00 AM","0.00","0.00","12.41","0.00","0.00","0.00","0.00"
"23/03/2020 2:50:00 AM","0.00","0.00","13.80","0.00","0.00","0.00","0.00"
"23/03/2020 2:45:00 AM","0.00","0.00","12.48","0.00","3.21","0.00","0.00"
"23/03/2020 2:40:00 AM","0.00","0.00","11.26","6.55","11.44","0.00","0.00"
"23/03/2020 2:35:00 AM","0.00","0.00","0.00","6.55","0.00","0.00","0.00"
"23/03/2020 2:30:00 AM","0.00","0.00","179.80","6.55","0.00","0.00","0.00"
"23/03/2020 2:25:00 AM","0.00","0.00","246.48","6.40","0.00","0.00","0.00"
"23/03/2020 2:20:00 AM","0.00","0.00","169.10","6.40","0.00","0.00","0.00"
"23/03/2020 2:15:00 AM","0.00","0.00","186.91","6.40","0.00","0.00","0.00"
"23/03/2020 2:10:00 AM","0.00","0.00","138.59","6.99","0.00","0.00","0.00"
"23/03/2020 2:05:00 AM","0.00","0.00","227.65","6.99","0.00","0.00","0.00"
"23/03/2020 2:00:00 AM","0.00","0.00","158.98","6.99","12.63","0.00","0.00"
"23/03/2020 1:55:00 AM","0.00","0.00","232.11","0.00","0.00","0.00","0.00"
"23/03/2020 1:50:00 AM","0.00","0.00","4.08","0.00","0.00","0.00","0.00"
"23/03/2020 1:45:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:40:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:35:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:30:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:25:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:20:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:15:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:10:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:05:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:00:00 AM","0.00","0.00","0.24","0.00","0.00","0.00","0.00"
"23/03/2020 12:55:00 AM","0.00","0.00","0.22","0.00","7.22","0.00","0.00"
