"Timestamp","FCU PIR Log","FCU Enable Log","FCU Status Log"
"5/03/2020 9:59:21 PM","0.00","0.00","1.00"
"5/03/2020 9:28:18 PM","0.00","1.00","1.00"
"5/03/2020 7:41:24 PM","1.00","1.00","1.00"
"5/03/2020 7:41:21 PM","1.00","1.00","0.00"
"5/03/2020 7:35:16 PM","1.00","0.00","0.00"
"5/03/2020 5:52:23 PM","0.00","0.00","0.00"
"5/03/2020 5:52:21 PM","0.00","0.00","1.00"
"5/03/2020 5:21:14 PM","0.00","1.00","1.00"
"5/03/2020 5:16:04 PM","1.00","1.00","1.00"
"5/03/2020 5:16:01 PM","1.00","1.00","0.00"
"5/03/2020 5:15:57 PM","1.00","0.00","0.00"
"5/03/2020 4:30:43 PM","0.00","0.00","0.00"
"5/03/2020 4:30:41 PM","0.00","0.00","1.00"
"5/03/2020 3:59:29 PM","0.00","1.00","1.00"
"5/03/2020 12:56:38 PM","1.00","1.00","1.00"
"5/03/2020 12:54:52 PM","0.00","1.00","1.00"
"5/03/2020 10:51:11 AM","1.00","1.00","1.00"
"5/03/2020 10:48:52 AM","0.00","1.00","1.00"
"5/03/2020 10:43:33 AM","1.00","1.00","1.00"
"5/03/2020 10:43:31 AM","1.00","1.00","0.00"
"5/03/2020 10:43:26 AM","1.00","0.00","0.00"
"5/03/2020 10:17:13 AM","0.00","0.00","0.00"
"5/03/2020 10:17:11 AM","0.00","0.00","1.00"
"5/03/2020 9:46:05 AM","0.00","1.00","1.00"
"5/03/2020 9:36:43 AM","1.00","1.00","1.00"
"5/03/2020 9:36:41 AM","1.00","1.00","0.00"
"5/03/2020 9:36:37 AM","1.00","0.00","0.00"
"5/03/2020 7:35:48 AM","0.00","0.00","0.00"
"5/03/2020 7:35:41 AM","0.00","0.00","1.00"
"5/03/2020 7:04:36 AM","0.00","1.00","1.00"
"5/03/2020 6:54:43 AM","1.00","1.00","1.00"
"5/03/2020 6:54:41 AM","1.00","1.00","0.00"
"5/03/2020 6:54:34 AM","1.00","0.00","0.00"
"4/03/2020 12:11:13 PM","0.00","0.00","0.00"
"4/03/2020 12:11:11 PM","0.00","0.00","1.00"
"4/03/2020 11:39:57 AM","0.00","1.00","1.00"
"4/03/2020 11:20:43 AM","1.00","1.00","1.00"
"4/03/2020 11:20:41 AM","1.00","1.00","0.00"
"4/03/2020 11:20:35 AM","1.00","0.00","0.00"
