"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"17/03/2020 11:02:13 AM","0.00","0.00","1.00"
"17/03/2020 10:31:03 AM","0.00","1.00","1.00"
"17/03/2020 10:20:28 AM","1.00","1.00","1.00"
"17/03/2020 10:20:24 AM","1.00","1.00","0.00"
"17/03/2020 10:20:13 AM","1.00","1.00","0.00"
"17/03/2020 10:20:04 AM","1.00","0.00","0.00"
"17/03/2020 9:30:21 AM","0.00","0.00","0.00"
"17/03/2020 9:30:13 AM","0.00","0.00","1.00"
"17/03/2020 8:59:00 AM","0.00","1.00","1.00"
"17/03/2020 8:38:37 AM","1.00","1.00","1.00"
"17/03/2020 8:36:34 AM","0.00","1.00","1.00"
"17/03/2020 7:49:03 AM","1.00","1.00","1.00"
"17/03/2020 7:46:33 AM","0.00","1.00","1.00"
"17/03/2020 6:58:26 AM","1.00","1.00","1.00"
"17/03/2020 6:56:58 AM","0.00","1.00","1.00"
"17/03/2020 6:27:04 AM","1.00","1.00","1.00"
"17/03/2020 6:24:59 AM","0.00","1.00","1.00"
"17/03/2020 6:14:38 AM","1.00","1.00","1.00"
"17/03/2020 6:00:11 AM","0.00","1.00","1.00"
"17/03/2020 6:00:03 AM","0.00","1.00","0.00"
"16/03/2020 6:00:06 PM","0.00","0.00","0.00"
"16/03/2020 6:00:03 PM","0.00","0.00","1.00"
"16/03/2020 5:37:03 PM","0.00","1.00","1.00"
"16/03/2020 9:22:57 AM","1.00","1.00","1.00"
"16/03/2020 6:08:55 AM","0.00","1.00","1.00"
"16/03/2020 6:00:15 AM","1.00","1.00","1.00"
"16/03/2020 6:00:03 AM","1.00","1.00","0.00"
"16/03/2020 5:57:15 AM","1.00","0.00","0.00"
"14/03/2020 5:53:46 AM","0.00","0.00","0.00"
"14/03/2020 5:53:43 AM","0.00","0.00","1.00"
"14/03/2020 5:22:40 AM","0.00","1.00","1.00"
"14/03/2020 5:20:00 AM","1.00","1.00","1.00"
"14/03/2020 5:19:53 AM","1.00","1.00","0.00"
"14/03/2020 5:13:48 AM","1.00","0.00","0.00"
"13/03/2020 6:00:06 PM","0.00","0.00","0.00"
"13/03/2020 6:00:03 PM","0.00","0.00","1.00"
"13/03/2020 5:51:37 PM","0.00","1.00","1.00"
"13/03/2020 4:21:52 PM","1.00","1.00","1.00"
"13/03/2020 3:50:47 PM","0.00","1.00","1.00"
"13/03/2020 3:45:41 PM","1.00","1.00","1.00"
"13/03/2020 3:45:33 PM","1.00","1.00","0.00"
"13/03/2020 3:08:36 PM","0.00","0.00","0.00"
"13/03/2020 3:08:33 PM","0.00","0.00","1.00"
"13/03/2020 2:37:28 PM","0.00","1.00","1.00"
"13/03/2020 2:26:09 PM","1.00","1.00","1.00"
"13/03/2020 2:26:03 PM","1.00","1.00","0.00"
"13/03/2020 2:25:59 PM","1.00","0.00","0.00"
"13/03/2020 2:19:36 PM","0.00","0.00","0.00"
"13/03/2020 2:19:33 PM","0.00","0.00","1.00"
"13/03/2020 1:48:20 PM","0.00","1.00","1.00"
"13/03/2020 11:35:44 AM","1.00","1.00","1.00"
"13/03/2020 11:32:32 AM","0.00","1.00","1.00"
"13/03/2020 11:02:54 AM","1.00","1.00","1.00"
"13/03/2020 11:00:55 AM","0.00","1.00","1.00"
"13/03/2020 10:23:22 AM","1.00","1.00","1.00"
"13/03/2020 10:21:58 AM","0.00","1.00","1.00"
