"Timestamp","FCU-00-17  PIR Log","FCU-00-17  Enable Log","FCU-00-17  Status Log"
"21/03/2020 12:42:03 AM","0.00","0.00","0.00"
"21/03/2020 12:41:57 AM","0.00","0.00","1.00"
"21/03/2020 12:12:00 AM","0.00","1.00","1.00"
"21/03/2020 12:11:57 AM","0.00","1.00","0.00"
"21/03/2020 12:10:57 AM","0.00","0.00","0.00"
"21/03/2020 12:05:50 AM","1.00","0.00","0.00"
"20/03/2020 11:55:28 PM","0.00","0.00","0.00"
"20/03/2020 11:55:17 PM","0.00","0.00","1.00"
"20/03/2020 11:24:17 PM","0.00","1.00","1.00"
"20/03/2020 11:18:59 PM","1.00","1.00","1.00"
"20/03/2020 11:17:23 PM","0.00","1.00","1.00"
"20/03/2020 11:10:23 PM","1.00","1.00","1.00"
"20/03/2020 10:54:22 PM","0.00","1.00","1.00"
"20/03/2020 10:47:34 PM","1.00","1.00","1.00"
"20/03/2020 10:40:58 PM","0.00","1.00","1.00"
"20/03/2020 10:35:54 PM","1.00","1.00","1.00"
"20/03/2020 10:12:48 PM","0.00","1.00","1.00"
"20/03/2020 10:07:39 PM","1.00","1.00","1.00"
"20/03/2020 10:06:15 PM","0.00","1.00","1.00"
"20/03/2020 9:54:08 PM","1.00","1.00","1.00"
"20/03/2020 9:40:41 PM","0.00","1.00","1.00"
"20/03/2020 9:09:15 PM","1.00","1.00","1.00"
"20/03/2020 9:08:01 PM","0.00","1.00","1.00"
"20/03/2020 8:59:15 PM","1.00","1.00","1.00"
"20/03/2020 8:41:42 PM","0.00","1.00","1.00"
"20/03/2020 8:35:28 PM","1.00","1.00","1.00"
"20/03/2020 8:34:34 PM","0.00","1.00","1.00"
"20/03/2020 8:17:06 PM","1.00","1.00","1.00"
"20/03/2020 8:13:27 PM","0.00","1.00","1.00"
"20/03/2020 8:08:20 PM","1.00","1.00","1.00"
"20/03/2020 7:49:04 PM","0.00","1.00","1.00"
"20/03/2020 7:44:03 PM","1.00","1.00","1.00"
"20/03/2020 7:43:25 PM","0.00","1.00","1.00"
"20/03/2020 7:37:52 PM","1.00","1.00","1.00"
"20/03/2020 7:35:00 PM","0.00","1.00","1.00"
"20/03/2020 7:30:01 PM","1.00","1.00","1.00"
"20/03/2020 7:22:22 PM","0.00","1.00","1.00"
"20/03/2020 7:08:13 PM","1.00","1.00","1.00"
"20/03/2020 7:08:01 PM","0.00","1.00","1.00"
"20/03/2020 6:43:39 PM","1.00","1.00","1.00"
"20/03/2020 6:41:37 PM","0.00","1.00","1.00"
"20/03/2020 6:32:46 PM","1.00","1.00","1.00"
"20/03/2020 6:29:05 PM","0.00","1.00","1.00"
"20/03/2020 6:06:10 PM","1.00","1.00","1.00"
"20/03/2020 6:06:07 PM","1.00","1.00","0.00"
"20/03/2020 6:00:14 PM","1.00","0.00","0.00"
"20/03/2020 6:00:07 PM","1.00","0.00","1.00"
"20/03/2020 11:53:59 AM","1.00","1.00","1.00"
"20/03/2020 11:52:44 AM","0.00","1.00","1.00"
"20/03/2020 11:30:33 AM","1.00","1.00","1.00"
"20/03/2020 11:29:31 AM","0.00","1.00","1.00"
"20/03/2020 11:23:58 AM","1.00","1.00","1.00"
"20/03/2020 11:23:39 AM","0.00","1.00","1.00"
"20/03/2020 9:16:49 AM","1.00","1.00","1.00"
"20/03/2020 9:14:54 AM","0.00","1.00","1.00"
"20/03/2020 8:35:42 AM","1.00","1.00","1.00"
"20/03/2020 8:34:39 AM","0.00","1.00","1.00"
"20/03/2020 8:07:50 AM","1.00","1.00","1.00"
"20/03/2020 8:06:52 AM","0.00","1.00","1.00"
"20/03/2020 7:47:01 AM","1.00","1.00","1.00"
"20/03/2020 7:39:44 AM","0.00","1.00","1.00"
"20/03/2020 7:34:39 AM","1.00","1.00","1.00"
"20/03/2020 7:25:02 AM","0.00","1.00","1.00"
"20/03/2020 7:15:42 AM","1.00","1.00","1.00"
"20/03/2020 7:14:01 AM","0.00","1.00","1.00"
"20/03/2020 7:09:01 AM","1.00","1.00","1.00"
"20/03/2020 6:51:00 AM","0.00","1.00","1.00"
"20/03/2020 6:42:42 AM","1.00","1.00","1.00"
"20/03/2020 6:25:10 AM","0.00","1.00","1.00"
"20/03/2020 6:20:06 AM","1.00","1.00","1.00"
"20/03/2020 6:01:17 AM","0.00","1.00","1.00"
"20/03/2020 5:40:27 AM","1.00","1.00","1.00"
"20/03/2020 5:32:12 AM","0.00","1.00","1.00"
"20/03/2020 5:27:13 AM","1.00","1.00","1.00"
"20/03/2020 5:00:55 AM","0.00","1.00","1.00"
"20/03/2020 4:54:20 AM","1.00","1.00","1.00"
"20/03/2020 4:52:09 AM","0.00","1.00","1.00"
"20/03/2020 4:47:10 AM","1.00","1.00","1.00"
"20/03/2020 4:43:10 AM","0.00","1.00","1.00"
"20/03/2020 4:38:10 AM","1.00","1.00","1.00"
"20/03/2020 4:11:38 AM","0.00","1.00","1.00"
"20/03/2020 4:04:15 AM","1.00","1.00","1.00"
"20/03/2020 4:04:04 AM","0.00","1.00","1.00"
"20/03/2020 3:41:35 AM","1.00","1.00","1.00"
"20/03/2020 3:41:14 AM","0.00","1.00","1.00"
"20/03/2020 3:41:07 AM","0.00","1.00","0.00"
