"Timestamp","FCU-00-08   PIR Log","FCU-00-08  Enable Log","FCU-00-08   Status Log"
"11/03/2020 6:01:48 AM","0.00","0.00","1.00"
"11/03/2020 5:30:42 AM","0.00","1.00","1.00"
"11/03/2020 5:22:21 AM","1.00","1.00","1.00"
"11/03/2020 5:22:18 AM","1.00","1.00","0.00"
"11/03/2020 5:16:12 AM","1.00","0.00","0.00"
"10/03/2020 6:00:10 PM","0.00","0.00","0.00"
"10/03/2020 6:00:08 PM","0.00","0.00","1.00"
"10/03/2020 5:37:48 PM","0.00","1.00","1.00"
"10/03/2020 4:32:10 PM","1.00","1.00","1.00"
"10/03/2020 4:31:31 PM","0.00","1.00","1.00"
"10/03/2020 4:07:30 PM","1.00","1.00","1.00"
"10/03/2020 3:42:23 PM","0.00","1.00","1.00"
"10/03/2020 2:12:27 PM","1.00","1.00","1.00"
"10/03/2020 2:05:58 PM","0.00","1.00","1.00"
"10/03/2020 2:00:41 PM","1.00","1.00","1.00"
"10/03/2020 2:00:38 PM","1.00","1.00","0.00"
"10/03/2020 2:00:32 PM","1.00","0.00","0.00"
"10/03/2020 1:57:10 PM","0.00","0.00","0.00"
"10/03/2020 1:57:08 PM","0.00","0.00","1.00"
"10/03/2020 1:25:56 PM","0.00","1.00","1.00"
"10/03/2020 12:11:57 PM","1.00","1.00","1.00"
"10/03/2020 12:05:57 PM","0.00","1.00","1.00"
"10/03/2020 11:56:54 AM","1.00","1.00","1.00"
"10/03/2020 11:54:15 AM","0.00","1.00","1.00"
"10/03/2020 11:37:26 AM","1.00","1.00","1.00"
"10/03/2020 11:30:55 AM","0.00","1.00","1.00"
"10/03/2020 11:25:47 AM","1.00","1.00","1.00"
"10/03/2020 11:18:32 AM","0.00","1.00","1.00"
"10/03/2020 11:08:30 AM","1.00","1.00","1.00"
"10/03/2020 10:38:52 AM","0.00","1.00","1.00"
"10/03/2020 10:33:50 AM","1.00","1.00","1.00"
"10/03/2020 10:16:14 AM","0.00","1.00","1.00"
"10/03/2020 9:28:01 AM","1.00","1.00","1.00"
"10/03/2020 9:27:22 AM","0.00","1.00","1.00"
"10/03/2020 9:17:58 AM","1.00","1.00","1.00"
"10/03/2020 9:14:36 AM","0.00","1.00","1.00"
"10/03/2020 9:09:23 AM","1.00","1.00","1.00"
"10/03/2020 9:02:10 AM","0.00","1.00","1.00"
"10/03/2020 7:44:50 AM","1.00","1.00","1.00"
"10/03/2020 7:15:15 AM","0.00","1.00","1.00"
"10/03/2020 6:57:01 AM","0.00","1.00","1.00"
"10/03/2020 6:56:58 AM","0.00","1.00","0.00"
"10/03/2020 6:41:20 AM","0.00","0.00","0.00"
"10/03/2020 6:41:18 AM","0.00","0.00","1.00"
"10/03/2020 6:10:10 AM","0.00","1.00","1.00"
"10/03/2020 6:00:27 AM","1.00","1.00","1.00"
"10/03/2020 6:00:02 AM","1.00","1.00","1.00"
"10/03/2020 5:43:53 AM","0.00","1.00","1.00"
"10/03/2020 5:39:51 AM","1.00","1.00","1.00"
"10/03/2020 5:39:48 AM","1.00","1.00","0.00"
"10/03/2020 5:33:42 AM","1.00","0.00","0.00"
"9/03/2020 10:53:28 PM","0.00","0.00","0.00"
"9/03/2020 5:59:14 PM","0.00","0.00","0.00"
"9/03/2020 5:59:12 PM","0.00","0.00","1.00"
"9/03/2020 5:28:04 PM","0.00","1.00","1.00"
"9/03/2020 5:17:20 PM","1.00","1.00","1.00"
"9/03/2020 5:13:45 PM","0.00","1.00","1.00"
"9/03/2020 5:04:59 PM","1.00","1.00","1.00"
"9/03/2020 5:00:26 PM","0.00","1.00","1.00"
"9/03/2020 4:44:54 PM","0.00","1.00","1.00"
"9/03/2020 4:27:10 PM","1.00","1.00","1.00"
"9/03/2020 4:08:57 PM","0.00","1.00","1.00"
"9/03/2020 3:29:54 PM","1.00","1.00","1.00"
"9/03/2020 3:29:40 PM","0.00","1.00","1.00"
"9/03/2020 3:11:06 PM","1.00","1.00","1.00"
"9/03/2020 3:04:13 PM","0.00","1.00","1.00"
