"Timestamp","FCU-00-14  PIR Log","FCU-00-14  Enable Log","FCU-00-14   Status Log"
"12/02/2020 6:00:04 PM","1.00","0.00","0.00"
"12/02/2020 6:00:00 PM","1.00","0.00","1.00"
"11/02/2020 6:06:10 PM","1.00","1.00","1.00"
"11/02/2020 6:06:00 PM","1.00","1.00","0.00"
"11/02/2020 6:00:14 PM","1.00","0.00","0.00"
"11/02/2020 6:00:10 PM","1.00","0.00","1.00"
"11/02/2020 6:38:55 AM","1.00","1.00","1.00"
"11/02/2020 6:38:50 AM","1.00","1.00","0.00"
"11/02/2020 6:23:54 AM","1.00","0.00","0.00"
"11/02/2020 6:23:50 AM","1.00","0.00","1.00"
"10/02/2020 6:06:15 PM","1.00","1.00","1.00"
"10/02/2020 6:06:10 PM","1.00","1.00","0.00"
"10/02/2020 6:00:14 PM","1.00","0.00","0.00"
"10/02/2020 6:00:10 PM","1.00","0.00","1.00"
"10/02/2020 9:38:15 AM","1.00","1.00","1.00"
"10/02/2020 9:38:10 AM","1.00","1.00","0.00"
"10/02/2020 6:32:34 AM","1.00","0.00","0.00"
"10/02/2020 6:32:30 AM","1.00","0.00","1.00"
"10/02/2020 1:44:02 AM","1.00","1.00","1.00"
"9/02/2020 1:45:06 AM","1.00","1.00","1.00"
"7/02/2020 6:06:15 PM","1.00","1.00","1.00"
"7/02/2020 6:06:10 PM","1.00","1.00","0.00"
"7/02/2020 6:00:03 PM","1.00","0.00","0.00"
"7/02/2020 6:00:00 PM","1.00","0.00","1.00"
"7/02/2020 11:07:20 AM","1.00","1.00","1.00"
"7/02/2020 11:07:10 AM","1.00","1.00","0.00"
"7/02/2020 10:41:53 AM","1.00","0.00","0.00"
"7/02/2020 10:41:50 AM","1.00","0.00","1.00"
"6/02/2020 6:06:15 PM","1.00","1.00","1.00"
"6/02/2020 6:06:10 PM","1.00","1.00","0.00"
"6/02/2020 6:00:13 PM","1.00","0.00","0.00"
"6/02/2020 6:00:10 PM","1.00","0.00","1.00"
"6/02/2020 12:15:15 PM","1.00","1.00","1.00"
"6/02/2020 12:15:10 PM","1.00","1.00","0.00"
"6/02/2020 8:09:23 AM","1.00","0.00","0.00"
"6/02/2020 8:09:20 AM","1.00","0.00","1.00"
"5/02/2020 6:08:35 PM","1.00","1.00","1.00"
"5/02/2020 6:08:30 PM","1.00","1.00","0.00"
"5/02/2020 10:22:13 AM","1.00","0.00","0.00"
"5/02/2020 10:22:10 AM","1.00","0.00","1.00"
"5/02/2020 9:42:50 AM","1.00","1.00","1.00"
"5/02/2020 9:42:40 AM","1.00","1.00","0.00"
"5/02/2020 9:38:43 AM","1.00","0.00","0.00"
"5/02/2020 9:38:40 AM","1.00","0.00","1.00"
"5/02/2020 9:32:35 AM","1.00","1.00","1.00"
"5/02/2020 9:32:30 AM","1.00","1.00","0.00"
"5/02/2020 9:24:53 AM","1.00","0.00","0.00"
"5/02/2020 9:24:50 AM","1.00","0.00","1.00"
"5/02/2020 1:44:20 AM","1.00","1.00","1.00"
"4/02/2020 6:08:35 PM","1.00","1.00","1.00"
"4/02/2020 6:08:30 PM","1.00","1.00","0.00"
"4/02/2020 3:31:43 PM","1.00","0.00","0.00"
"4/02/2020 3:31:40 PM","1.00","0.00","1.00"
"4/02/2020 3:03:04 PM","1.00","1.00","1.00"
"4/02/2020 3:03:00 PM","1.00","1.00","0.00"
"4/02/2020 12:54:43 PM","1.00","0.00","0.00"
"4/02/2020 12:54:40 PM","1.00","0.00","1.00"
"4/02/2020 12:36:55 PM","1.00","1.00","1.00"
"4/02/2020 12:36:50 PM","1.00","1.00","0.00"
"4/02/2020 11:31:13 AM","1.00","0.00","0.00"
"4/02/2020 11:31:10 AM","1.00","0.00","1.00"
"4/02/2020 11:08:40 AM","1.00","1.00","1.00"
"4/02/2020 11:08:30 AM","1.00","1.00","0.00"
"4/02/2020 10:47:33 AM","1.00","0.00","0.00"
"4/02/2020 10:47:30 AM","1.00","0.00","1.00"
"4/02/2020 10:38:45 AM","1.00","1.00","1.00"
"4/02/2020 10:38:40 AM","1.00","1.00","0.00"
"4/02/2020 10:35:54 AM","1.00","0.00","0.00"
"4/02/2020 10:35:50 AM","1.00","0.00","1.00"
"4/02/2020 10:20:25 AM","1.00","1.00","1.00"
"4/02/2020 10:20:20 AM","1.00","1.00","0.00"
"4/02/2020 10:16:13 AM","1.00","0.00","0.00"
"4/02/2020 10:16:10 AM","1.00","0.00","1.00"
"4/02/2020 1:44:07 AM","1.00","1.00","1.00"
"3/02/2020 6:06:04 PM","1.00","1.00","1.00"
"3/02/2020 6:06:00 PM","1.00","1.00","0.00"
"3/02/2020 6:00:14 PM","1.00","0.00","0.00"
"3/02/2020 6:00:10 PM","1.00","0.00","1.00"
"31/01/2020 6:06:15 PM","1.00","1.00","1.00"
"31/01/2020 6:06:10 PM","1.00","1.00","0.00"
"31/01/2020 6:00:14 PM","1.00","0.00","0.00"
"31/01/2020 6:00:10 PM","1.00","0.00","1.00"
"30/01/2020 6:06:10 PM","1.00","1.00","1.00"
"30/01/2020 6:06:00 PM","1.00","1.00","0.00"
"30/01/2020 6:00:14 PM","1.00","0.00","0.00"
"30/01/2020 6:00:10 PM","1.00","0.00","1.00"
"29/01/2020 6:06:10 PM","1.00","1.00","1.00"
"29/01/2020 6:06:00 PM","1.00","1.00","0.00"
"29/01/2020 6:00:14 PM","1.00","0.00","0.00"
"29/01/2020 6:00:10 PM","1.00","0.00","1.00"
"29/01/2020 11:02:30 AM","1.00","1.00","1.00"
"29/01/2020 11:02:20 AM","1.00","1.00","0.00"
"29/01/2020 6:37:33 AM","1.00","0.00","0.00"
"29/01/2020 6:37:30 AM","1.00","0.00","1.00"
"29/01/2020 3:49:49 AM","1.00","1.00","1.00"
"28/01/2020 6:06:10 PM","1.00","1.00","1.00"
"28/01/2020 6:06:00 PM","1.00","1.00","0.00"
"28/01/2020 6:00:14 PM","1.00","0.00","0.00"
"28/01/2020 6:00:10 PM","1.00","0.00","1.00"
"28/01/2020 5:40:15 PM","1.00","1.00","1.00"
"28/01/2020 5:40:10 PM","1.00","1.00","0.00"
"28/01/2020 5:32:23 PM","1.00","0.00","0.00"
"28/01/2020 5:32:20 PM","1.00","0.00","1.00"
"28/01/2020 2:31:30 PM","1.00","1.00","1.00"
"28/01/2020 2:31:20 PM","1.00","1.00","0.00"
"28/01/2020 2:12:04 PM","1.00","0.00","0.00"
"28/01/2020 2:12:00 PM","1.00","0.00","1.00"
"28/01/2020 11:07:05 AM","1.00","1.00","1.00"
"28/01/2020 11:07:00 AM","1.00","1.00","0.00"
"28/01/2020 7:49:43 AM","1.00","0.00","0.00"
"28/01/2020 7:49:40 AM","1.00","0.00","1.00"
"27/01/2020 6:06:04 PM","1.00","1.00","1.00"
"27/01/2020 6:06:00 PM","1.00","1.00","0.00"
"27/01/2020 6:00:04 PM","1.00","0.00","0.00"
"27/01/2020 6:00:00 PM","1.00","0.00","1.00"
"27/01/2020 12:59:15 PM","1.00","1.00","1.00"
"27/01/2020 12:59:10 PM","1.00","1.00","0.00"
"27/01/2020 12:20:13 PM","1.00","0.00","0.00"
"27/01/2020 12:20:10 PM","1.00","0.00","1.00"
"27/01/2020 12:16:00 PM","1.00","1.00","1.00"
"27/01/2020 12:15:50 PM","1.00","1.00","0.00"
"27/01/2020 6:56:13 AM","1.00","0.00","0.00"
"27/01/2020 6:56:10 AM","1.00","0.00","1.00"
"27/01/2020 1:45:07 AM","1.00","1.00","1.00"
"24/01/2020 6:06:15 PM","1.00","1.00","1.00"
"24/01/2020 6:06:10 PM","1.00","1.00","0.00"
