"Timestamp","AHU_B1_02-PIR2 Log","AHU_B1_02-Sts Log","AHU_B1_02-Enable Log"
"19/03/2020 4:43:26 PM","0.00","1.00","1.00"
"19/03/2020 4:38:26 PM","1.00","1.00","1.00"
"19/03/2020 4:36:25 PM","0.00","1.00","1.00"
"19/03/2020 4:31:25 PM","1.00","1.00","1.00"
"19/03/2020 4:18:31 PM","0.00","1.00","1.00"
"19/03/2020 4:08:26 PM","1.00","1.00","1.00"
"19/03/2020 3:53:22 PM","0.00","1.00","1.00"
"19/03/2020 3:44:28 PM","1.00","1.00","1.00"
"19/03/2020 3:31:06 PM","0.00","1.00","1.00"
"19/03/2020 3:23:00 PM","1.00","1.00","1.00"
"19/03/2020 2:43:54 PM","0.00","1.00","1.00"
"19/03/2020 2:38:51 PM","1.00","1.00","1.00"
"19/03/2020 1:55:05 PM","0.00","1.00","1.00"
"19/03/2020 1:50:05 PM","1.00","1.00","1.00"
"19/03/2020 1:49:34 PM","0.00","1.00","1.00"
"19/03/2020 1:43:31 PM","1.00","1.00","1.00"
"19/03/2020 1:37:37 PM","0.00","1.00","1.00"
"19/03/2020 1:32:37 PM","1.00","1.00","1.00"
"19/03/2020 1:29:57 PM","0.00","1.00","1.00"
"19/03/2020 1:24:57 PM","1.00","1.00","1.00"
"19/03/2020 1:04:58 PM","0.00","1.00","1.00"
"19/03/2020 12:59:56 PM","1.00","1.00","1.00"
"19/03/2020 12:35:57 PM","0.00","1.00","1.00"
"19/03/2020 12:30:58 PM","1.00","1.00","1.00"
"19/03/2020 12:30:15 PM","0.00","1.00","1.00"
"19/03/2020 12:22:09 PM","1.00","1.00","1.00"
"19/03/2020 12:09:42 PM","0.00","1.00","1.00"
"19/03/2020 11:54:21 AM","1.00","1.00","1.00"
"19/03/2020 11:43:08 AM","0.00","1.00","1.00"
"19/03/2020 11:38:04 AM","1.00","1.00","1.00"
"19/03/2020 11:36:10 AM","0.00","1.00","1.00"
"19/03/2020 11:27:47 AM","1.00","1.00","1.00"
"19/03/2020 11:26:54 AM","0.00","1.00","1.00"
"19/03/2020 11:19:17 AM","1.00","1.00","1.00"
"19/03/2020 11:18:05 AM","0.00","1.00","1.00"
"19/03/2020 11:07:56 AM","1.00","1.00","1.00"
"19/03/2020 11:02:51 AM","0.00","1.00","1.00"
"19/03/2020 10:55:32 AM","1.00","1.00","1.00"
"19/03/2020 10:48:38 AM","0.00","1.00","1.00"
"19/03/2020 10:43:26 AM","1.00","1.00","1.00"
"19/03/2020 10:19:30 AM","0.00","1.00","1.00"
"19/03/2020 10:12:04 AM","1.00","1.00","1.00"
"19/03/2020 10:11:49 AM","0.00","1.00","1.00"
"19/03/2020 10:02:25 AM","1.00","1.00","1.00"
"19/03/2020 9:43:01 AM","0.00","1.00","1.00"
"19/03/2020 9:38:00 AM","1.00","1.00","1.00"
"19/03/2020 9:00:14 AM","0.00","1.00","1.00"
"19/03/2020 8:55:11 AM","1.00","1.00","1.00"
"19/03/2020 8:47:19 AM","0.00","1.00","1.00"
"19/03/2020 8:36:49 AM","1.00","1.00","1.00"
"19/03/2020 6:54:47 AM","0.00","1.00","1.00"
"19/03/2020 6:38:24 AM","1.00","1.00","1.00"
"19/03/2020 6:37:33 AM","0.00","1.00","1.00"
"19/03/2020 6:31:58 AM","1.00","1.00","1.00"
"19/03/2020 6:28:36 AM","0.00","1.00","1.00"
"19/03/2020 6:21:45 AM","1.00","1.00","1.00"
