"Timestamp","FCU-00-13   PIR Log","FCU-00-13   Enable Log","FCU-00-13  Status Log"
"9/03/2020 9:54:22 AM","0.00","0.00","1.00"
"9/03/2020 7:30:22 AM","0.00","1.00","1.00"
"9/03/2020 7:30:21 AM","0.00","1.00","0.00"
"9/03/2020 7:29:24 AM","0.00","1.00","1.00"
"9/03/2020 7:29:14 AM","0.00","1.00","1.00"
"9/03/2020 7:24:39 AM","0.00","1.00","1.00"
"9/03/2020 7:22:40 AM","0.00","1.00","1.00"
"9/03/2020 7:19:42 AM","0.00","1.00","1.00"
"9/03/2020 7:18:23 AM","0.00","1.00","1.00"
"9/03/2020 7:15:48 AM","0.00","1.00","1.00"
"9/03/2020 7:15:22 AM","0.00","1.00","0.00"
"9/03/2020 7:15:02 AM","0.00","0.00","0.00"
"9/03/2020 7:14:52 AM","0.00","1.00","0.00"
"9/03/2020 7:14:24 AM","0.00","0.00","0.00"
"9/03/2020 7:14:22 AM","0.00","0.00","1.00"
"9/03/2020 7:14:12 AM","0.00","1.00","1.00"
"9/03/2020 7:13:52 AM","0.00","1.00","0.00"
"9/03/2020 7:10:20 AM","0.00","0.00","0.00"
"9/03/2020 7:10:12 AM","0.00","0.00","1.00"
"9/03/2020 7:10:07 AM","0.00","1.00","1.00"
"9/03/2020 7:09:52 AM","0.00","1.00","0.00"
"9/03/2020 6:24:09 AM","0.00","0.00","0.00"
"9/03/2020 6:24:02 AM","0.00","0.00","1.00"
"9/03/2020 6:04:11 AM","0.00","1.00","1.00"
"9/03/2020 6:00:27 AM","0.00","1.00","1.00"
"9/03/2020 6:00:14 AM","0.00","1.00","1.00"
"9/03/2020 6:00:02 AM","0.00","1.00","0.00"
"2/03/2020 3:59:09 AM","0.00","0.00","0.00"
"2/03/2020 3:59:05 AM","1.00","0.00","0.00"
"2/03/2020 3:04:30 AM","1.00","0.00","0.00"
"2/03/2020 12:56:32 AM","0.00","0.00","0.00"
"2/03/2020 12:56:31 AM","0.00","0.00","0.00"
"2/03/2020 12:56:27 AM","0.00","0.00","1.00"
"1/03/2020 11:12:14 PM","0.00","0.00","1.00"
"28/02/2020 11:00:11 AM","0.00","0.00","0.00"
"28/02/2020 11:00:03 AM","0.00","0.00","1.00"
"28/02/2020 10:32:19 AM","0.00","1.00","1.00"
"28/02/2020 10:29:21 AM","0.00","1.00","1.00"
"28/02/2020 10:29:20 AM","0.00","1.00","0.00"
"28/02/2020 10:29:11 AM","0.00","1.00","1.00"
"28/02/2020 10:29:10 AM","0.00","1.00","0.00"
"28/02/2020 10:29:09 AM","0.00","1.00","1.00"
"28/02/2020 10:23:31 AM","0.00","1.00","1.00"
"28/02/2020 10:23:30 AM","0.00","1.00","0.00"
"28/02/2020 10:23:23 AM","0.00","1.00","0.00"
"28/02/2020 9:06:29 AM","0.00","0.00","0.00"
"28/02/2020 9:06:23 AM","0.00","0.00","1.00"
"28/02/2020 9:04:17 AM","0.00","1.00","1.00"
"28/02/2020 9:04:14 AM","0.00","1.00","1.00"
"28/02/2020 9:04:12 AM","0.00","1.00","1.00"
"28/02/2020 9:04:06 AM","0.00","1.00","1.00"
"28/02/2020 9:03:53 AM","0.00","1.00","0.00"
"27/02/2020 11:55:47 PM","0.00","0.00","0.00"
"27/02/2020 11:55:44 PM","1.00","0.00","1.00"
"27/02/2020 11:53:55 PM","1.00","0.00","1.00"
"27/02/2020 11:53:54 PM","0.00","0.00","1.00"
"27/02/2020 1:09:05 PM","0.00","0.00","0.00"
"27/02/2020 1:09:03 PM","0.00","0.00","1.00"
"27/02/2020 1:03:01 PM","0.00","1.00","1.00"
